Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,312.304413,313.579620,310.954468,312.204773,312.204773,3927065
2010-01-05,312.418976,312.747742,309.609497,310.829926,310.829926,6031925
2010-01-06,311.761444,311.761444,302.047852,302.994293,302.994293,7987226
2010-01-07,303.562164,303.861053,295.218445,295.940735,295.940735,12876685
2010-01-08,294.894653,300.498657,293.455048,299.885956,299.885956,9484016
2010-01-11,301.101410,301.101410,295.910858,299.432648,299.432648,14479871
2010-01-12,297.709106,297.963165,292.902130,294.137512,294.137512,9742983
2010-01-13,287.168610,293.091431,285.878448,292.448822,292.448822,13041902
2010-01-14,290.859772,295.990570,290.316833,293.823669,293.823669,8511986
2010-01-15,295.562164,295.671753,287.940735,288.917053,288.917053,10909740
2010-01-19,289.514832,294.107605,287.069000,292.712830,292.712830,8665760
2010-01-20,291.895905,291.895905,286.570862,289.121307,289.121307,6525769
2010-01-21,290.630646,292.314331,285.056549,290.401489,290.401489,12662686
2010-01-22,281.196014,284.234619,266.431335,273.978058,273.978058,13651779
2010-01-25,272.274445,273.913300,266.755127,268.991760,268.991760,8872934
2010-01-26,267.980530,273.773834,267.143677,270.197235,270.197235,8743651
2010-01-27,269.624390,272.802460,266.655518,270.037842,270.037842,7958519
2010-01-28,271.228363,272.478668,264.309296,266.147400,266.147400,6482407
2010-01-29,268.239563,269.484894,261.823608,263.980530,263.980530,8312039
2010-02-01,266.301849,266.904572,264.159851,265.514771,265.514771,4518473
2010-02-02,266.481171,266.481171,262.819885,264.568329,264.568329,8223107
2010-02-03,263.347900,270.037842,263.128723,269.400208,269.400208,6020683
2010-02-04,267.497345,267.995483,261.798706,262.406433,262.406433,6780721
2010-02-05,263.213409,265.753876,260.254517,264.653015,264.653015,6335659
2010-02-08,265.255768,269.988007,264.772552,265.738953,265.738953,5408798
2010-02-09,268.762604,269.753906,266.535950,267.218414,267.218414,5660337
2010-02-10,266.037811,267.890869,262.859741,266.227112,266.227112,5369049
2010-02-11,265.664215,269.235840,263.761353,267.198486,267.198486,4838067
2010-02-12,265.489868,267.572083,264.259491,265.564606,265.564606,4576490
2010-02-16,267.432587,271.049042,266.152405,269.639313,269.639313,7336195
2010-02-17,269.988007,270.685394,267.801208,268.100098,268.100098,4074616
2010-02-18,267.766357,271.487396,267.068970,270.595734,270.595734,4691319
2010-02-19,269.255768,270.999237,268.842316,269.370331,269.370331,5125339
2010-02-22,272.653015,272.727753,269.489899,270.386536,270.386536,4305277
2010-02-23,270.486145,270.799988,265.151154,266.535950,266.535950,5766734
2010-02-24,265.992981,268.214661,264.264465,264.742676,264.742676,4670641
2010-02-25,262.575806,263.258240,259.029083,262.232086,262.232086,6643207
2010-02-26,262.725250,264.882172,260.762604,262.416412,262.416412,4113963
2010-03-01,263.611908,265.649292,262.884644,265.350403,265.350403,4492576
2010-03-02,266.740204,271.811188,266.506073,269.519775,269.519775,8746261
2010-03-03,270.167358,273.036591,268.618164,271.641815,271.641815,6201960
2010-03-04,272.229614,277.026642,272.080170,276.259521,276.259521,6391467
2010-03-05,279.626892,282.775085,278.904602,281.051544,281.051544,7853728
2010-03-08,281.335480,281.534729,279.457520,280.189789,280.189789,4790690
2010-03-09,278.879700,281.275696,277.210938,279.049042,279.049042,6377013
2010-03-10,280.827393,288.169861,280.055298,287.148682,287.148682,11352192
2010-03-11,286.057770,292.010468,286.027893,289.484924,289.484924,8498335
2010-03-12,292.971863,293.041595,288.498627,288.687927,288.687927,5527441
2010-03-15,282.281952,283.661774,276.961884,280.538483,280.538483,9342688
2010-03-16,279.865997,283.148682,279.332977,281.544708,281.544708,6888724
2010-03-17,283.088928,284.658020,281.071472,281.724030,281.724030,6668100
2010-03-18,281.305603,283.158661,280.428894,282.142456,282.142456,3567723
2010-03-19,278.954407,282.939484,277.599487,278.954407,278.954407,9624340
2010-03-22,277.016663,282.366608,276.105103,277.709076,277.709076,8039622
