Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,109.820000,110.139999,109.309998,109.800003,109.800003,16224100
2010-01-05,109.879997,110.389999,109.260002,109.699997,109.699997,14213100
2010-01-06,110.709999,111.769997,110.410004,111.510002,111.510002,24981900
2010-01-07,111.070000,111.290001,110.620003,110.820000,110.820000,13609800
2010-01-08,111.519997,111.580002,110.260002,111.370003,111.370003,15894600
2010-01-11,113.339996,113.589996,112.519997,112.849998,112.849998,17253000
2010-01-12,112.379997,113.050003,110.139999,110.489998,110.489998,29182600
2010-01-13,110.919998,111.570000,109.570000,111.540001,111.540001,20014000
2010-01-14,111.510002,112.370003,110.790001,112.029999,112.029999,18305300
2010-01-15,111.349998,112.010002,110.379997,110.860001,110.860001,18002700
2010-01-19,110.949997,111.750000,110.830002,111.519997,111.519997,10468200
2010-01-20,109.970001,110.050003,108.459999,108.940002,108.940002,17535000
2010-01-21,108.480003,108.779999,106.610001,107.370003,107.370003,25748400
2010-01-22,106.930000,107.680000,106.010002,107.169998,107.169998,24210100
2010-01-25,107.440002,107.720001,107.070000,107.480003,107.480003,13200500
2010-01-26,106.870003,107.989998,106.750000,107.559998,107.559998,12297100
2010-01-27,107.529999,108.800003,106.160004,106.529999,106.529999,19005100
2010-01-28,107.180000,107.230003,105.180000,106.480003,106.480003,16793900
2010-01-29,105.879997,106.300003,105.269997,105.959999,105.959999,20278800
2010-02-01,106.639999,108.480003,106.370003,108.349998,108.349998,14901900
2010-02-02,109.160004,109.599998,108.610001,109.129997,109.129997,14292200
2010-02-03,109.099998,109.540001,108.430000,108.699997,108.699997,13393200
2010-02-04,106.790001,106.800003,103.750000,104.370003,104.370003,39991900
2010-02-05,103.760002,104.680000,102.279999,104.680000,104.680000,32656700
2010-02-08,104.410004,105.139999,104.000000,104.040001,104.040001,17176600
2010-02-09,105.180000,106.150002,104.870003,105.410004,105.410004,25959200
2010-02-10,105.129997,105.500000,104.110001,105.120003,105.120003,16215200
2010-02-11,105.580002,107.559998,105.269997,107.129997,107.129997,19350100
2010-02-12,106.080002,107.099998,105.570000,107.040001,107.040001,14464200
2010-02-16,109.449997,109.870003,109.099998,109.620003,109.620003,20895700
2010-02-17,109.660004,110.010002,108.870003,109.250000,109.250000,19593400
2010-02-18,109.610001,110.110001,109.190002,109.980003,109.980003,19177400
2010-02-19,109.320000,110.389999,108.809998,109.470001,109.470001,21928700
2010-02-22,109.860001,109.970001,108.660004,109.070000,109.070000,10742800
2010-02-23,108.839996,108.910004,107.650002,107.889999,107.889999,13629600
2010-02-24,107.330002,108.160004,107.099998,107.360001,107.360001,17207400
2010-02-25,106.699997,108.699997,106.599998,108.309998,108.309998,23400400
2010-02-26,108.889999,109.599998,108.410004,109.430000,109.430000,13033900
2010-03-01,109.480003,109.900002,108.970001,109.430000,109.430000,12830900
2010-03-02,109.860001,111.449997,109.860001,111.019997,111.019997,20102200
2010-03-03,111.459999,112.180000,111.180000,111.629997,111.629997,16222100
2010-03-04,111.250000,111.370003,110.220001,110.830002,110.830002,12944800
2010-03-05,111.129997,111.750000,110.800003,110.809998,110.809998,11091400
2010-03-08,111.220001,111.300003,109.519997,109.879997,109.879997,12753800
2010-03-09,109.160004,110.160004,109.040001,109.720001,109.720001,12650800
2010-03-10,109.940002,110.500000,108.019997,108.470001,108.470001,21982100
2010-03-11,108.279999,108.650002,107.860001,108.599998,108.599998,9513300
2010-03-12,108.559998,108.769997,107.449997,107.949997,107.949997,11849000
2010-03-15,108.160004,108.559998,107.820000,108.360001,108.360001,7698600
2010-03-16,110.019997,110.570000,109.699997,110.400002,110.400002,17749300
2010-03-17,110.180000,110.459999,109.550003,109.589996,109.589996,13784300
2010-03-18,110.099998,110.610001,109.500000,110.339996,110.339996,13848400
2010-03-19,108.279999,110.290001,107.849998,108.279999,108.279999,24329100
2010-03-22,107.309998,108.000000,106.949997,107.750000,107.750000,11579400
2010-03-23,107.500000,108.500000,107.339996,108.320000,108.320000,11274400
2010-03-24,106.940002,107.070000,106.239998,106.300003,106.300003,14236700
2010-03-25,107.000000,107.250000,106.480003,106.779999,106.779999,16866700
2010-03-26,107.160004,108.699997,106.820000,108.589996,108.589996,17433600
2010-03-29,108.870003,109.169998,108.400002,108.750000,108.750000,11527000
